service_id,date,exception_type
20541,20160515,2
20543,20160101,2
20543,20160224,2
20543,20160325,2
20543,20160327,2
20543,20160501,2
20543,20160515,2
20544,20160101,1
20544,20160224,1
20544,20160325,1
20544,20160623,1
20544,20160624,1
20544,20160820,1
20544,20161224,1
20544,20161226,1
20561,20160101,2
20561,20160224,2
20561,20160325,2
20561,20160327,2
20561,20160501,2
20561,20160515,2
20561,20160623,2
20561,20160624,2
20561,20160820,2
20561,20161224,2
20561,20161225,2
20561,20161226,2
20570,20160101,2
20570,20160224,2
20570,20160325,2
20570,20160327,2
20570,20160501,2
20570,20160515,2
20570,20160623,2
20570,20160624,2
20570,20160820,2
20570,20161224,2
20570,20161225,2
20570,20161226,2
20582,20160101,2
20582,20160224,2
20582,20160325,2
20582,20160327,2
20582,20160501,2
20582,20160515,2
20582,20160623,2
20582,20160624,2
20582,20160820,2
20582,20161224,2
20582,20161225,2
20582,20161226,2
20585,20160101,2
20585,20160224,2
20585,20160325,2
20585,20160623,2
20585,20160624,2
20585,20161226,2
20586,20151231,2
20586,20160101,2
20586,20160102,2
20586,20160103,2
20586,20160104,2
20586,20160105,2
20586,20160106,2
20586,20160107,2
20586,20160108,2
20586,20160109,2
20586,20160110,2
20586,20160224,2
20586,20160319,2
20586,20160320,2
20586,20160321,2
20586,20160322,2
20586,20160323,2
20586,20160324,2
20586,20160325,2
20586,20160326,2
20586,20160327,2
20586,20160501,2
20586,20160515,2
20586,20160604,2
20586,20160605,2
20586,20160606,2
20586,20160607,2
20586,20160608,2
20586,20160609,2
20586,20160610,2
20586,20160611,2
20586,20160612,2
20586,20160613,2
20586,20160614,2
20586,20160615,2
20586,20160616,2
20586,20160617,2
20586,20160618,2
20586,20160619,2
20586,20160620,2
20586,20160621,2
20586,20160622,2
20586,20160623,2
20586,20160624,2
20586,20160625,2
20586,20160626,2
20586,20160627,2
20586,20160628,2
20586,20160629,2
20586,20160630,2
20586,20160701,2
20586,20160702,2
20586,20160703,2
20586,20160704,2
20586,20160705,2
20586,20160706,2
20586,20160707,2
20586,20160708,2
20586,20160709,2
20586,20160710,2
20586,20160711,2
20586,20160712,2
20586,20160713,2
20586,20160714,2
20586,20160715,2
20586,20160716,2
20586,20160717,2
20586,20160718,2
20586,20160719,2
20586,20160720,2
20586,20160721,2
20586,20160722,2
20586,20160723,2
20586,20160724,2
20586,20160725,2
20586,20160726,2
20586,20160727,2
20586,20160728,2
20586,20160729,2
20586,20160730,2
20586,20160731,2
20586,20160801,2
