route_id,agency_id,route_short_name,route_long_name,route_type,route_color,competent_authority
5dfd691d9caca7309d792f4ee2b29a10,100046,111,Tallinn - Tabasalu - Harku - Tallinn,3,00933C,Harjumaa ÜTK
66afaf77ad4a1b68840cb60e5f60f19f,60,111,Aaviku - Kõrveküla - Lähte - Kärevere - Kärnise - Tartu,3,00933C,Tartu MV
a540de0a2588179913092adff664c2ca,50,111,Soonurme - Savala - Maidla - Kiviõli,3,00933C,Ida-Viru MV
389f47ccc06885c6663370986fc4c7bd,100046,1112,Kuressaare-Nasva-Salme-Läätsa,3,00933C,Saare MV
8a4950999b40b129f23494a11130d447,100046,1113,Läätsa-Salme-Nasva-Kuressaare,3,00933C,Saare MV
35c580b73d62c180f0b95ff161ba943d,100046,1114,Kuressaare-Nasva-Salme,3,00933C,Saare MV
590a50a1a6e62111f6e49be2b667f95a,100046,1115,Salme-Nasva-Kuressaare,3,00933C,Saare MV
215027962b6c72b2508d711fb8eab3bd,100046,111A,Tallinn - Harku - Tabasalu - Tallinn,3,00933C,Harjumaa ÜTK
ecc563b7ac9ec49173ab0bad9493c828,231,112,Tallinn - Tartu - Otepää - Kääriku - Sangaste - Antsla,3,E6FA32,Maanteeamet
aa97aa9d9589f2987e211097628d04de,100046,112,Haabersti - Harku - Laagri,3,00933C,Harjumaa ÜTK
12583f3582f4fd3944b082cb40011b58,60,113,Tartu - Laeva - Puurmani,3,00933C,Tartu MV
0efef93e0cc19650d878efc63f47a199,27,113,Jõhvi - Iisaku - Tudulinna - Avinurme,3,00933C,Ida-Viru MV
3bd8c3c2d0d51d5699e38dcfddf90e2b,99,113,Saku - Jälgimäe - Vana-Pääsküla - Jälgimäe - Saku,3,00933C,Harjumaa ÜTK
63e4692badbea4894bc817bb5d002141,60,114,Puurmani - Laeva - Tartu,3,00933C,Tartu MV
0ff82a1f74b7e61b75f2ccafbe03575d,50,114,Jõhvi - Kohtla-Järve - Mäetaguse - Jõhvi,3,00933C,Ida-Viru MV
a47fa098f1095c73877aa3bc42ce7038,117,114,Tallinn - Haabneeme - Rohuneeme,3,00933C,Harjumaa ÜTK
5966cd09759a07b0a9173dca49ed1d96,60,115,Puurmani - Laeva - Tartu,3,00933C,Tartu MV
